;"""Genomic Region Alias"; mRNA Accession Number; Transcript Status; Exon Count; Splice Variants Details; Proteins Produced by This Gene; Functional Domains & Motifs Information; Subcellular Localization Probability Distribution; New Column 1 (non-semantic);" New Column 2 (non-semantic)"""
0;" ""Chromosome 11 q2"; NM_001127209.2; Transcript variant 1; 20; 5 splice variants; NP\_001114020.1, NP\_001114021.1, NP\_001114022.1, NP\_001114023.1, NP\_001114024.1; DUF4564 domain; 0.25 nucleus, 0.65 cytoplasm, 0.10 mitochondria; Random Data 1;" Random Data 2"""
1;"""Chromosome 17q31"; NM\_018143.3; Transcript variant 2; 15; 3 splice variants; NP\_059939.2, NP\_059939.3, NP\_059939.4; Zinc finger domain; 0.75 nucleus, 0.25 cytoplasm; Random Data 3;" Random Data 4"""
2;"""Chromosome 19p12"; NM\_001010470.2; Transcript variant 1; 10; 2 splice variants; NP\_001005399.1, NP\_001005400.1; Protein kinase domain; 0.9 nucleus, 0.1 cytoplasm; Random Data 5;" Random Data 6"""
3;"""Chromosome 2q1"; NM\_032017.2; Transcript variant 3; 22; 4 splice variants; NP\_115982.2, NP\_115982.3, NP\_115982.4, NP\_115982.5; Coiled-coil domain; 0.8 endoplasmic reticulum, 0.2 Golgi apparatus; Random Data 7;" Random Data 8"""
4;"""Chromosome Xq3"; NM\_001242723.1; Transcript variant 1; 8; 1 splice variant; NP\_001233943.1; Ankyrin repeat domain; 0.9 plasma membrane, 0.1 cytoplasm; Random Data 9;" Random Data 10"""
5;"""Chromosome 6p32"; NM\_001318021.1; Transcript variant 1; 18; 3 splice variants; NP\_001306380.1, NP\_001306381.1, NP\_001306382.1; Homeobox domain; 0.5 nucleus, 0.5 cytoplasm; Random Data 11;" Random Data 12"""
6;"""Chromosome 8q3"; NM\_173084.3; Transcript variant 2; 12; 2 splice variants; NP\_775620.2, NP\_775620.3; Transmembrane domain; 0.7 plasma membrane, 0.3 endoplasmic reticulum; Random Data 13;" Random Data 14"""
7;"""Chromosome 13q2"; NM\_001007552.2; Transcript variant 1; 9; 1 splice variant; NP\_001001784.1; RNA recognition motif; 0.8 nucleus, 0.2 cytoplasm; Random Data 15;" Random Data 16"""
8;"""Chromosome 5q3"; NM\_001012498.1; Transcript variant 2; 14; 3 splice variants; NP\_001006557.1, NP\_001006558.1, NP\_001006559.1; Helicase domain; 0.75 nucleus, 0.25 mitochondria; Random Data 17;" Random Data 18"""
9;"""Chromosome 14q2"; NM\_030781.3; Transcript variant 1; 11; 2 splice variants; NP\_114203.1, NP\_114204.1; Calponin homology domain; 0.6 cytoskeleton, 0.4 cytoplasm; Random Data 19;" Random Data 20""</s>"
